Computer Name,Logged On Users,Domain,Category,File Types,Logical Drive,Count,Memory
IP-DK27,g.bianchi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,139239,3.39 GB
IP-DK17,s.mainenti,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,80839,24.84 GB
IP-NB05,s.mainenti,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,79598,1.55 GB
IP-NB11,a.iozzolino,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,72242,15.01 GB
IP-NB07,g.lorenzi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,69281,1.34 GB
IP-DK11,c.giroletti,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,63194,1.63 GB
IP-NB28,g.gaudenzi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,62773,10.68 GB
IP-NB14,a.essawi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,56697,3.21 GB
IP-NB21,i.colombo,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,54217,7.11 GB
IP-NB22,s.monichino,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,52287,13.33 GB
IP-DK09,m.renda,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,50857,4.05 GB
IP-NB23,d.dozio,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,48362,926.07 MB
IP-DK07,,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,48253,957.2 MB
IP-NB26,p.avallone,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,46658,742.23 MB
IP-NB30,as.aledi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,45281,7.01 GB
IP-CV01,,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,44883,431.35 MB
IP-WS01,a.essawi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,44348,18.0 GB
IP-DK24,s.donati,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,44316,1.55 GB
IP-NB24,,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,43320,576.45 MB
IP-NB04,s.ferrante,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,42639,569.97 MB
IP-NB01,,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,42203,1.99 GB
IP-DK22,a.settino,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,40833,556.36 MB
IP-DK18,j.gellera,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,40658,723.81 MB
IP-DK19,team.leader,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,40645,763.43 MB
IP-DK25,f.santocchi,IMBALLAGGI,Photos,"jpg, jpeg, png, gif, tif, cr2, crw, nef, nrw, arw, sr2, srf",ALL,40600,3.6 GB
